run,strategy,product,trade_count,volume,buy_volume,sell_volume,outside_volume,outside_trade_count,taker_like_volume,avg_fill_mid_edge,avg_outside_distance,markout_1,adverse_rate_1,markout_2,adverse_rate_2,markout_5,adverse_rate_5,markout_10,adverse_rate_10,markout_50,adverse_rate_50,markout_100,adverse_rate_100
11,options_gap_sweep,VEV_4000,253,253,128,125,0,0,253,-10.019762845849803,,-9.454545454545455,0.9802371541501976,-9.547430830039525,0.9762845849802372,-9.547430830039525,0.9486166007905138,-9.470238095238095,0.9603174603174603,-9.137295081967213,0.8729508196721312,-9.57905982905983,0.8376068376068376
11,options_gap_sweep,VEV_4500,21,21,10,11,0,0,21,-4.095238095238095,,-0.47619047619047616,0.5714285714285714,-0.40476190476190477,0.5714285714285714,0.09523809523809523,0.38095238095238093,0.07142857142857142,0.5238095238095238,1.0952380952380953,0.3333333333333333,0.7380952380952381,0.38095238095238093
11,options_gap_sweep,VEV_5000,20,20,10,10,0,0,20,-1.475,,-0.3,0.45,-0.1,0.6,0.325,0.35,0.3,0.45,0.825,0.35,0.55,0.4
11,options_gap_sweep,VEV_5100,6,6,6,0,0,0,6,-0.75,,0.5833333333333334,0.0,1.0,0.16666666666666666,1.3333333333333333,0.0,1.25,0.3333333333333333,3.3333333333333335,0.3333333333333333,3.0,0.3333333333333333
12,options_flow_follow,VEV_4000,35,35,23,12,0,0,35,-10.385714285714286,,-10.242857142857142,1.0,-10.057142857142857,0.9714285714285714,-9.352941176470589,0.9705882352941176,-10.235294117647058,1.0,-10.46875,0.875,-13.375,0.9375
13,options_flow_fade,VEV_4000,35,35,12,23,0,0,35,-10.385714285714286,,-10.528571428571428,1.0,-10.714285714285714,1.0,-11.411764705882353,1.0,-10.529411764705882,1.0,-10.28125,0.9375,-7.375,0.84375
14,iv_momentum_conservative,VELVETFRUIT_EXTRACT,252,1227,522,705,0,0,1060,-1.9380603096984514,,-1.7365415986949428,0.831973898858075,-1.78734693877551,0.8,-1.7680032733224222,0.7512274959083469,-2.451320132013201,0.7656765676567657,-3.1994122586062135,0.743073047858942,1.223122866894198,0.42918088737201365
14,iv_momentum_conservative,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
14,iv_momentum_conservative,VEV_4500,13,45,45,0,0,0,37,-1.9333333333333333,,1.3888888888888888,0.28888888888888886,1.5888888888888888,0.26666666666666666,2.011111111111111,0.15555555555555556,1.7333333333333334,0.4888888888888889,4.288888888888889,0.26666666666666666,1.6666666666666667,0.3333333333333333
14,iv_momentum_conservative,VEV_5000,4,13,13,0,0,0,5,0.9615384615384616,,1.6923076923076923,0.0,2.730769230769231,0.0,3.5,0.15384615384615385,2.730769230769231,0.5384615384615384,-1.4230769230769231,0.5384615384615384,-5.769230769230769,0.7692307692307693
14,iv_momentum_conservative,VEV_5100,3,8,8,0,0,0,0,1.3125,,1.75,0.0,1.8125,0.25,2.5625,0.25,3.5,0.25,3.0,0.625,-4.125,0.625
14,iv_momentum_conservative,VEV_5200,3,8,8,0,0,0,0,0.5,,0.5,0.375,0.75,0.25,1.5,0.25,2.125,0.25,1.625,0.625,-3.6875,0.625
